Dy  01_B 01_E  02_B 02_E  03_B 03_E  04_B 04_E  05_B 05_E  06_B 06_E  07_B 07_E  08_B 08_E  09_B 09_E  10_B 10_E  11_B 11_E  12_B 12_E
01  0737 1749  0723 1823  0646 1858  0553 1934  0503 2011  0430 2045  0431 2055  0500 2031  0536 1942  0609 1848  0644 1801  0718 1739
02  0738 1750  0722 1825  0645 1859  0551 1935  0502 2012  0430 2046  0432 2055  0501 2030  0537 1940  0610 1847  0645 1800  0719 1738
03  0738 1751  0721 1826  0643 1900  0549 1937  0500 2013  0429 2046  0432 2055  0502 2028  0538 1938  0611 1845  0647 1759  0720 1738
04  0738 1752  0720 1827  0641 1901  0548 1938  0459 2014  0429 2047  0433 2055  0503 2027  0539 1937  0612 1843  0648 1758  0721 1738
05  0738 1753  0719 1828  0640 1903  0546 1939  0457 2016  0428 2048  0434 2054  0504 2025  0540 1935  0613 1842  0649 1757  0722 1738
06  0738 1754  0718 1830  0638 1904  0544 1940  0456 2017  0428 2049  0434 2054  0506 2024  0541 1933  0614 1840  0650 1756  0723 1738
07  0737 1755  0717 1831  0637 1905  0542 1941  0455 2018  0428 2049  0435 2053  0507 2023  0542 1931  0615 1838  0651 1755  0724 1738
08  0737 1756  0716 1832  0635 1906  0541 1943  0453 2019  0427 2050  0436 2053  0508 2021  0544 1930  0617 1836  0652 1753  0725 1738
09  0737 1757  0715 1833  0633 1907  0539 1944  0452 2020  0427 2051  0437 2052  0509 2020  0545 1928  0618 1835  0654 1752  0726 1738
10  0737 1758  0713 1835  0631 1908  0537 1945  0451 2022  0427 2051  0438 2052  0510 2018  0546 1926  0619 1833  0655 1752  0727 1738
11  0737 1759  0712 1836  0630 1910  0535 1946  0450 2023  0427 2052  0438 2051  0511 2017  0547 1924  0620 1832  0656 1751  0727 1738
12  0736 1800  0711 1837  0628 1911  0534 1947  0448 2024  0427 2052  0439 2051  0513 2015  0548 1922  0621 1830  0657 1750  0728 1738
13  0736 1801  0710 1838  0626 1912  0532 1949  0447 2025  0426 2053  0440 2050  0514 2014  0549 1920  0622 1828  0658 1749  0729 1739
14  0736 1802  0708 1840  0625 1913  0530 1950  0446 2026  0426 2053  0441 2049  0515 2012  0550 1919  0623 1827  0700 1748  0730 1739
15  0735 1803  0707 1841  0623 1914  0529 1951  0445 2027  0426 2054  0442 2048  0516 2011  0551 1917  0624 1825  0701 1747  0730 1739
16  0735 1804  0706 1842  0621 1916  0527 1952  0444 2029  0426 2054  0443 2048  0517 2009  0552 1915  0626 1824  0702 1746  0731 1739
17  0734 1805  0704 1843  0619 1917  0525 1954  0443 2030  0426 2055  0444 2047  0518 2007  0553 1913  0627 1822  0703 1746  0732 1740
18  0734 1807  0703 1844  0618 1918  0523 1955  0442 2031  0427 2055  0445 2046  0520 2006  0555 1911  0628 1821  0704 1745  0732 1740
19  0733 1808  0701 1846  0616 1919  0522 1956  0441 2032  0427 2055  0446 2045  0521 2004  0556 1910  0629 1819  0705 1744  0733 1741
20  0733 1809  0700 1847  0614 1920  0520 1957  0440 2033  0427 2055  0447 2044  0522 2003  0557 1908  0630 1818  0706 1743  0733 1741
21  0732 1810  0658 1848  0612 1921  0519 1958  0439 2034  0427 2056  0448 2043  0523 2001  0558 1906  0631 1816  0708 1743  0734 1742
22  0732 1811  0657 1849  0611 1923  0517 2000  0438 2035  0427 2056  0449 2042  0524 1959  0559 1904  0632 1815  0709 1742  0734 1742
23  0731 1812  0656 1851  0609 1924  0515 2001  0437 2036  0428 2056  0450 2041  0525 1958  0600 1902  0634 1813  0710 1742  0735 1743
24  0730 1814  0654 1852  0607 1925  0514 2002  0436 2037  0428 2056  0451 2040  0527 1956  0601 1901  0635 1812  0711 1741  0735 1743
25  0729 1815  0653 1853  0605 1926  0512 2003  0435 2038  0428 2056  0452 2039  0528 1954  0602 1859  0636 1810  0712 1741  0736 1744
26  0729 1816  0651 1854  0604 1927  0511 2005  0434 2039  0429 2056  0453 2038  0529 1953  0603 1857  0637 1809  0713 1740  0736 1744
27  0728 1817  0649 1855  0602 1928  0509 2006  0434 2040  0429 2056  0454 2037  0530 1951  0604 1855  0638 1808  0714 1740  0736 1745
28  0727 1818  0648 1857  0600 1930  0508 2007  0433 2041  0430 2056  0455 2036  0531 1949  0605 1854  0639 1806  0715 1740  0737 1746
29  0726 1820   NA   NA   0558 1931  0506 2008  0432 2042  0430 2056  0456 2035  0532 1947  0607 1852  0641 1805  0716 1739  0737 1747
30  0725 1821   NA   NA   0556 1932  0505 2009  0432 2043  0431 2056  0458 2033  0533 1946  0608 1850  0642 1804  0717 1739  0737 1747
31  0724 1822   NA   NA   0555 1933   NA   NA   0431 2044   NA   NA   0459 2032  0535 1944   NA   NA   0643 1803   NA   NA   0737 1748
