"","Date","Rise","Set"
"1",2013-04-01,621,1906
"2",2013-08-01,532,1959
"3",2013-12-01,750,1707
"4",2013-02-01,753,1754
"5",2013-01-01,809,1717
"6",2013-07-01,506,2021
"7",2013-06-01,504,2011
"8",2013-03-01,714,1830
"9",2013-05-01,534,1940
"10",2013-11-01,713,1732
"11",2013-10-01,637,1820
"12",2013-09-01,605,1913
"13",2013-04-02,620,1907
"14",2013-08-02,533,1958
"15",2013-12-02,751,1707
"16",2013-02-02,752,1755
"17",2013-01-02,809,1718
"18",2013-07-02,506,2020
"19",2013-06-02,504,2011
"20",2013-03-02,713,1831
"21",2013-05-02,533,1941
"22",2013-11-02,715,1731
"23",2013-10-02,638,1819
"24",2013-09-02,606,1911
"25",2013-04-03,618,1908
"26",2013-08-03,534,1957
"27",2013-12-03,752,1707
"28",2013-02-03,751,1756
"29",2013-01-03,809,1719
"30",2013-07-03,507,2020
"31",2013-06-03,504,2012
"32",2013-03-03,711,1832
"33",2013-05-03,531,1942
"34",2013-11-03,716,1729
"35",2013-10-03,639,1817
"36",2013-09-03,607,1910
"37",2013-04-04,616,1909
"38",2013-08-04,535,1955
"39",2013-12-04,753,1706
"40",2013-02-04,750,1758
"41",2013-01-04,809,1720
"42",2013-07-04,508,2020
"43",2013-06-04,503,2013
"44",2013-03-04,710,1833
"45",2013-05-04,530,1943
"46",2013-11-04,717,1728
"47",2013-10-04,640,1815
"48",2013-09-04,608,1908
"49",2013-04-05,614,1910
"50",2013-08-05,536,1954
"51",2013-12-05,754,1706
"52",2013-02-05,749,1759
"53",2013-01-05,809,1721
"54",2013-07-05,508,2020
"55",2013-06-05,503,2013
"56",2013-03-05,708,1834
"57",2013-05-05,529,1944
"58",2013-11-05,719,1727
"59",2013-10-05,641,1813
"60",2013-09-05,609,1906
"61",2013-04-06,613,1911
"62",2013-08-06,537,1953
"63",2013-12-06,755,1706
"64",2013-02-06,747,1800
"65",2013-01-06,809,1722
"66",2013-07-06,509,2019
"67",2013-06-06,503,2014
"68",2013-03-06,706,1836
"69",2013-05-06,527,1945
"70",2013-11-06,720,1726
"71",2013-10-06,643,1812
"72",2013-09-06,610,1904
"73",2013-04-07,611,1913
"74",2013-08-07,538,1952
"75",2013-12-07,756,1706
"76",2013-02-07,746,1801
"77",2013-01-07,809,1723
"78",2013-07-07,510,2019
"79",2013-06-07,502,2015
"80",2013-03-07,705,1837
"81",2013-05-07,526,1946
"82",2013-11-07,721,1725
"83",2013-10-07,644,1810
"84",2013-09-07,611,1903
"85",2013-04-08,609,1914
"86",2013-08-08,539,1950
"87",2013-12-08,757,1706
"88",2013-02-08,745,1803
"89",2013-01-08,809,1724
"90",2013-07-08,510,2019
"91",2013-06-08,502,2015
"92",2013-03-08,703,1838
"93",2013-05-08,525,1948
"94",2013-11-08,722,1724
"95",2013-10-08,645,1808
"96",2013-09-08,612,1901
"97",2013-04-09,608,1915
"98",2013-08-09,540,1949
"99",2013-12-09,758,1706
"100",2013-02-09,744,1804
"101",2013-01-09,809,1725
"102",2013-07-09,511,2018
"103",2013-06-09,502,2016
"104",2013-03-09,701,1839
"105",2013-05-09,524,1949
"106",2013-11-09,724,1723
"107",2013-10-09,646,1807
"108",2013-09-09,613,1859
"109",2013-04-10,606,1916
"110",2013-08-10,541,1948
"111",2013-12-10,759,1706
"112",2013-02-10,743,1805
"113",2013-01-10,808,1726
